34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Email_Alert_Class EA = new Email_Alert_Class();
Execute Anonymous: EA.registerNewEmail(null, false, false, '006O0000008ju1Z', true, false, false, null);
Execute Anonymous: EA.registerNewEmail(null, false, false, '006O0000008jnef', true, false, false, null);
Execute Anonymous: EA.sendEmails();
04:58:58.1 (1355306)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+11:00
04:58:58.1 (1376524)|EXECUTION_STARTED
04:58:58.1 (1383264)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
04:58:58.1 (3676300)|VARIABLE_SCOPE_BEGIN|[1]|EA|Email_Alert_Class|true|false
04:58:58.1 (3826098)|HEAP_ALLOCATE|[72]|Bytes:3
04:58:58.1 (3867837)|HEAP_ALLOCATE|[77]|Bytes:152
04:58:58.1 (3881414)|HEAP_ALLOCATE|[342]|Bytes:408
04:58:58.1 (3901205)|HEAP_ALLOCATE|[355]|Bytes:408
04:58:58.1 (3917210)|HEAP_ALLOCATE|[467]|Bytes:48
04:58:58.1 (3943191)|HEAP_ALLOCATE|[139]|Bytes:6
04:58:58.1 (3966997)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
04:58:58.1 (4044676)|STATEMENT_EXECUTE|[1]
04:58:58.1 (4049903)|STATEMENT_EXECUTE|[1]
04:58:58.1 (4058487)|HEAP_ALLOCATE|[1]|Bytes:12
04:58:58.1 (4066686)|HEAP_ALLOCATE|[1]|Bytes:20
04:58:58.1 (4072682)|HEAP_ALLOCATE|[1]|Bytes:8
04:58:58.1 (4111383)|METHOD_ENTRY|[1]|01pO00000003HJI|Email_Alert_Class.Email_Alert_Class()
04:58:58.1 (4116980)|STATEMENT_EXECUTE|[1]
04:58:58.1 (4122784)|STATEMENT_EXECUTE|[1]
04:58:58.1 (4165994)|HEAP_ALLOCATE|[50]|Bytes:5
04:58:58.1 (4191332)|HEAP_ALLOCATE|[56]|Bytes:5
04:58:58.1 (4199487)|HEAP_ALLOCATE|[64]|Bytes:7
04:58:58.1 (4217489)|SYSTEM_MODE_ENTER|false
04:58:58.1 (4231703)|HEAP_ALLOCATE|[1]|Bytes:5
04:58:58.1 (4235294)|STATEMENT_EXECUTE|[33]
04:58:58.1 (4240396)|SYSTEM_MODE_EXIT|false
04:58:58.1 (4247732)|METHOD_EXIT|[1]|Email_Alert_Class
04:58:58.1 (4455420)|HEAP_ALLOCATE|[1]|Bytes:20
04:58:58.1 (4483462)|SYSTEM_MODE_ENTER|false
04:58:58.1 (4498643)|HEAP_ALLOCATE|[1]|Bytes:5
04:58:58.1 (4512023)|CONSTRUCTOR_ENTRY|[1]|01pO00000003HJI|<init>()
04:58:58.1 (4538289)|VARIABLE_SCOPE_BEGIN|[10]|this|Email_Alert_Class|true|false
04:58:58.1 (4587997)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x4a9b19be
04:58:58.1 (4597947)|HEAP_ALLOCATE|[4]|Bytes:5
04:58:58.1 (4601408)|STATEMENT_EXECUTE|[1]
04:58:58.1 (4603913)|HEAP_ALLOCATE|[4]|Bytes:5
04:58:58.1 (4605619)|STATEMENT_EXECUTE|[3]
04:58:58.1 (4606934)|STATEMENT_EXECUTE|[4]
04:58:58.1 (4609757)|HEAP_ALLOCATE|[4]|Bytes:22
04:58:58.1 (4624627)|VARIABLE_ASSIGNMENT|[4]|this.CentralEmailAddress|"ricky.lowe@yopmail.c (2 more) ..."|0x4a9b19be
04:58:58.1 (4627256)|STATEMENT_EXECUTE|[5]
04:58:58.1 (4628552)|STATEMENT_EXECUTE|[6]
04:58:58.1 (4637594)|HEAP_ALLOCATE|[4]|Bytes:6
04:58:58.1 (4658705)|STATEMENT_EXECUTE|[10]
04:58:58.1 (4660864)|STATEMENT_EXECUTE|[16]
04:58:58.1 (4666721)|HEAP_ALLOCATE|[16]|Bytes:4
04:58:58.1 (4785074)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:58:58.1 (4798364)|VARIABLE_ASSIGNMENT|[16]|this.messages|[]|0x4a9b19be
04:58:58.1 (4801251)|STATEMENT_EXECUTE|[17]
04:58:58.1 (4805462)|HEAP_ALLOCATE|[17]|Bytes:4
04:58:58.1 (4856460)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:58:58.1 (4864376)|VARIABLE_ASSIGNMENT|[17]|this.EmailMessages|[]|0x4a9b19be
04:58:58.1 (4873064)|CONSTRUCTOR_EXIT|[1]|01pO00000003HJI|<init>()
04:58:58.1 (4876707)|SYSTEM_MODE_EXIT|false
04:58:58.1 (4910699)|VARIABLE_ASSIGNMENT|[1]|EA|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x5fa79f5c","messages":"0x35b16cc9"}|0x4a9b19be
04:58:58.1 (4915162)|STATEMENT_EXECUTE|[2]
04:58:58.1 (4923647)|HEAP_ALLOCATE|[2]|Bytes:15
04:58:58.1 (4941742)|HEAP_ALLOCATE|[2]|Bytes:4
04:58:58.1 (4969745)|SYSTEM_MODE_ENTER|false
04:58:58.1 (4980384)|HEAP_ALLOCATE|[2]|Bytes:5
04:58:58.1 (5018260)|METHOD_ENTRY|[2]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
04:58:58.1 (5040529)|VARIABLE_SCOPE_BEGIN|[20]|this|Email_Alert_Class|true|false
04:58:58.1 (5062561)|VARIABLE_ASSIGNMENT|[20]|this|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x5fa79f5c","messages":"0x35b16cc9"}|0x4a9b19be
04:58:58.1 (5068068)|VARIABLE_SCOPE_BEGIN|[20]|templateDevName|String|false|false
04:58:58.1 (5072891)|VARIABLE_ASSIGNMENT|[20]|templateDevName|null
04:58:58.1 (5077869)|VARIABLE_SCOPE_BEGIN|[20]|sendToPreContractGroup|Boolean|false|false
04:58:58.1 (5081482)|VARIABLE_ASSIGNMENT|[20]|sendToPreContractGroup|false
04:58:58.1 (5084274)|VARIABLE_SCOPE_BEGIN|[20]|sendToCentralEmailAddress|Boolean|false|false
04:58:58.1 (5086811)|VARIABLE_ASSIGNMENT|[20]|sendToCentralEmailAddress|false
04:58:58.1 (5089092)|VARIABLE_SCOPE_BEGIN|[20]|OppID|Id|false|false
04:58:58.1 (5226346)|VARIABLE_ASSIGNMENT|[20]|OppID|"006O0000008ju1ZIAQ"
04:58:58.1 (5234970)|VARIABLE_SCOPE_BEGIN|[20]|sendToPDM|Boolean|false|false
04:58:58.1 (5239477)|VARIABLE_ASSIGNMENT|[20]|sendToPDM|true
04:58:58.1 (5242749)|VARIABLE_SCOPE_BEGIN|[20]|sendToBDM|Boolean|false|false
04:58:58.1 (5245185)|VARIABLE_ASSIGNMENT|[20]|sendToBDM|false
04:58:58.1 (5247729)|VARIABLE_SCOPE_BEGIN|[20]|sendToAllApprovers|Boolean|false|false
04:58:58.1 (5250373)|VARIABLE_ASSIGNMENT|[20]|sendToAllApprovers|false
04:58:58.1 (5252885)|VARIABLE_SCOPE_BEGIN|[20]|currentApprover|Id|false|false
04:58:58.1 (5255373)|VARIABLE_ASSIGNMENT|[20]|currentApprover|null
04:58:58.1 (5264033)|HEAP_ALLOCATE|[21]|Bytes:5
04:58:58.1 (5267865)|STATEMENT_EXECUTE|[20]
04:58:58.1 (5269218)|STATEMENT_EXECUTE|[21]
04:58:58.1 (5282415)|HEAP_ALLOCATE|[21]|Bytes:36
04:58:58.1 (5296332)|CONSTRUCTOR_ENTRY|[21]|01pO00000003HJI|<init>()
04:58:58.1 (5327953)|VARIABLE_SCOPE_BEGIN|[33]|this|Email_Alert_Class.EmailMessage|true|false
04:58:58.1 (5409988)|VARIABLE_ASSIGNMENT|[33]|this|{}|0x714ee3c5
04:58:58.1 (5434161)|STATEMENT_EXECUTE|[33]
04:58:58.1 (5437439)|STATEMENT_EXECUTE|[34]
04:58:58.1 (5439285)|STATEMENT_EXECUTE|[35]
04:58:58.1 (5440874)|STATEMENT_EXECUTE|[36]
04:58:58.1 (5442450)|STATEMENT_EXECUTE|[37]
04:58:58.1 (5444197)|STATEMENT_EXECUTE|[38]
04:58:58.1 (5445659)|STATEMENT_EXECUTE|[39]
04:58:58.1 (5447087)|STATEMENT_EXECUTE|[40]
04:58:58.1 (5448492)|STATEMENT_EXECUTE|[41]
04:58:58.1 (5454857)|CONSTRUCTOR_EXIT|[21]|01pO00000003HJI|<init>()
04:58:58.1 (5461371)|VARIABLE_SCOPE_BEGIN|[21]|EM|Email_Alert_Class.EmailMessage|true|false
04:58:58.1 (5485370)|VARIABLE_ASSIGNMENT|[21]|EM|{}|0x714ee3c5
04:58:58.1 (5489037)|STATEMENT_EXECUTE|[22]
04:58:58.1 (5496620)|VARIABLE_ASSIGNMENT|[22]|this.templateDevName|null|0x714ee3c5
04:58:58.1 (5498474)|STATEMENT_EXECUTE|[23]
04:58:58.1 (5503356)|HEAP_ALLOCATE|[23]|Bytes:5
04:58:58.1 (5509062)|VARIABLE_ASSIGNMENT|[23]|this.sendToPreContractGroup|false|0x714ee3c5
04:58:58.1 (5510720)|STATEMENT_EXECUTE|[24]
04:58:58.1 (5513244)|HEAP_ALLOCATE|[24]|Bytes:5
04:58:58.1 (5517423)|VARIABLE_ASSIGNMENT|[24]|this.sendToCentralEmailAddress|false|0x714ee3c5
04:58:58.1 (5519054)|STATEMENT_EXECUTE|[25]
04:58:58.1 (5571254)|VARIABLE_ASSIGNMENT|[25]|this.OppID|"006O0000008ju1ZIAQ"|0x714ee3c5
04:58:58.1 (5574954)|STATEMENT_EXECUTE|[26]
04:58:58.1 (5580771)|HEAP_ALLOCATE|[26]|Bytes:5
04:58:58.1 (5588584)|VARIABLE_ASSIGNMENT|[26]|this.sendToPDM|true|0x714ee3c5
04:58:58.1 (5590306)|STATEMENT_EXECUTE|[27]
04:58:58.1 (5592940)|HEAP_ALLOCATE|[27]|Bytes:5
04:58:58.1 (5597083)|VARIABLE_ASSIGNMENT|[27]|this.sendToBDM|false|0x714ee3c5
04:58:58.1 (5598621)|STATEMENT_EXECUTE|[28]
04:58:58.1 (5600978)|HEAP_ALLOCATE|[28]|Bytes:5
04:58:58.1 (5604962)|VARIABLE_ASSIGNMENT|[28]|this.sendToAllApprovers|false|0x714ee3c5
04:58:58.1 (5606547)|STATEMENT_EXECUTE|[29]
04:58:58.1 (5610539)|VARIABLE_ASSIGNMENT|[29]|this.currentApprover|null|0x714ee3c5
04:58:58.1 (5612099)|STATEMENT_EXECUTE|[30]
04:58:58.1 (5653267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:58:58.1 (5670646)|METHOD_EXIT|[2]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
04:58:58.1 (5675519)|SYSTEM_MODE_EXIT|false
04:58:58.1 (5680177)|STATEMENT_EXECUTE|[3]
04:58:58.1 (5687518)|HEAP_ALLOCATE|[3]|Bytes:15
04:58:58.1 (5694887)|HEAP_ALLOCATE|[3]|Bytes:4
04:58:58.1 (5720642)|SYSTEM_MODE_ENTER|false
04:58:58.1 (5730638)|HEAP_ALLOCATE|[3]|Bytes:5
04:58:58.1 (5742539)|METHOD_ENTRY|[3]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
04:58:58.1 (5755939)|VARIABLE_SCOPE_BEGIN|[20]|this|Email_Alert_Class|true|false
04:58:58.1 (5777934)|VARIABLE_ASSIGNMENT|[20]|this|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x5fa79f5c","messages":"0x35b16cc9"}|0x4a9b19be
04:58:58.1 (5781528)|VARIABLE_SCOPE_BEGIN|[20]|templateDevName|String|false|false
04:58:58.1 (5784567)|VARIABLE_ASSIGNMENT|[20]|templateDevName|null
