39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,NONE;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
11:41:57.0 (448092)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+10:00
11:41:57.0 (478732)|EXECUTION_STARTED
11:41:57.0 (484861)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
11:41:57.0 (3448222)|CODE_UNIT_STARTED|[EXTERNAL]|01qO00000000SDP|opportunityTrigger on Opportunity trigger event BeforeUpdate for [006O0000008lbG0]
11:41:57.0 (3518381)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:41:57.0 (3562007)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:41:57.0 (3948094)|HEAP_ALLOCATE|[72]|Bytes:3
11:41:57.0 (4007101)|HEAP_ALLOCATE|[77]|Bytes:152
11:41:57.0 (4033500)|HEAP_ALLOCATE|[342]|Bytes:408
11:41:57.0 (4063633)|HEAP_ALLOCATE|[355]|Bytes:408
11:41:57.0 (4092337)|HEAP_ALLOCATE|[467]|Bytes:48
11:41:57.0 (4139926)|HEAP_ALLOCATE|[139]|Bytes:6
11:41:57.0 (4179708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:41:57.0 (4189957)|VARIABLE_SCOPE_BEGIN|[1]|this|opportunityTrigger|true|false
11:41:57.0 (4239125)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3147801a
11:41:57.0 (4276919)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:41:57.0 (4284926)|VARIABLE_SCOPE_BEGIN|[1]|this|opportunityTrigger|true|false
11:41:57.0 (4301204)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3147801a
11:41:57.0 (4310106)|STATEMENT_EXECUTE|[1]
11:41:57.0 (4313190)|STATEMENT_EXECUTE|[4]
11:41:57.0 (5560658)|VARIABLE_SCOPE_BEGIN|[16]|OpportunityTriggerHandler.KCRARecordTypeID|String|false|true
11:41:57.0 (5569066)|VARIABLE_SCOPE_BEGIN|[15]|OpportunityTriggerHandler.KCRATemplateRecordTypeID|String|false|true
11:41:57.0 (5573866)|VARIABLE_SCOPE_BEGIN|[18]|OpportunityTriggerHandler.PRARecordTypeID|String|false|true
11:41:57.0 (5577606)|VARIABLE_SCOPE_BEGIN|[17]|OpportunityTriggerHandler.PRATemplateRecordTypeID|String|false|true
11:41:57.0 (5582019)|VARIABLE_SCOPE_BEGIN|[21]|OpportunityTriggerHandler.isTest|Boolean|false|true
11:41:57.0 (5585876)|VARIABLE_SCOPE_BEGIN|[20]|OpportunityTriggerHandler.recursionAfter|Boolean|false|true
11:41:57.0 (5589746)|VARIABLE_SCOPE_BEGIN|[19]|OpportunityTriggerHandler.recursionBefore|Boolean|false|true
11:41:57.0 (5593945)|VARIABLE_SCOPE_BEGIN|[14]|OpportunityTriggerHandler.runOnce|Boolean|false|true
11:41:57.0 (6236238)|VARIABLE_SCOPE_BEGIN|[5]|TriggerHandler.bypassedHandlers|Set<String>|true|true
11:41:57.0 (6242473)|VARIABLE_SCOPE_BEGIN|[4]|TriggerHandler.loopCountMap|Map<String,TriggerHandler.LoopCount>|true|true
11:41:57.0 (6289384)|HEAP_ALLOCATE|[4]|Bytes:69
11:41:57.0 (6298013)|HEAP_ALLOCATE|[4]|Bytes:55
11:41:57.0 (6329166)|METHOD_ENTRY|[13]|01pO0000000371i|OpportunityTriggerHandler.OpportunityTriggerHandler()
11:41:57.0 (6332821)|STATEMENT_EXECUTE|[13]
11:41:57.0 (6336275)|STATEMENT_EXECUTE|[13]
11:41:57.0 (6337596)|STATEMENT_EXECUTE|[14]
11:41:57.0 (6367658)|HEAP_ALLOCATE|[50]|Bytes:5
11:41:57.0 (6394823)|HEAP_ALLOCATE|[56]|Bytes:5
11:41:57.0 (6403569)|HEAP_ALLOCATE|[64]|Bytes:7
11:41:57.0 (6432972)|HEAP_ALLOCATE|[14]|Bytes:5
11:41:57.0 (6446942)|VARIABLE_ASSIGNMENT|[14]|OpportunityTriggerHandler.runOnce|true
11:41:57.0 (6450168)|STATEMENT_EXECUTE|[15]
11:41:57.0 (6452902)|HEAP_ALLOCATE|[15]|Bytes:33
11:41:57.0 (6543204)|SYSTEM_METHOD_ENTRY|[15]|Schema.SObjectType.getDescribe()
11:41:57.0 (6854100)|HEAP_ALLOCATE|[15]|Bytes:4
11:41:57.0 (6864462)|SYSTEM_METHOD_EXIT|[15]|Schema.SObjectType.getDescribe()
11:41:57.0 (6896828)|LIMIT_USAGE|[15]|RECORD_TYPE_DESCRIBES|1|100
11:41:57.0 (9599110)|HEAP_ALLOCATE|[15]|Bytes:16
11:41:57.0 (9608707)|HEAP_ALLOCATE|[15]|Bytes:13
11:41:57.0 (9675676)|SYSTEM_METHOD_ENTRY|[15]|Map<String,Schema.RecordTypeInfo>.get(Object)
11:41:57.0 (9728189)|SYSTEM_METHOD_EXIT|[15]|Map<String,Schema.RecordTypeInfo>.get(Object)
11:41:57.0 (9762210)|HEAP_ALLOCATE|[15]|Bytes:4
11:41:57.0 (9781306)|HEAP_ALLOCATE|[15]|Bytes:18
11:41:57.0 (9796895)|VARIABLE_ASSIGNMENT|[15]|OpportunityTriggerHandler.KCRATemplateRecordTypeID|"012O0000000DCgLIAW"
11:41:57.0 (9800299)|STATEMENT_EXECUTE|[16]
11:41:57.0 (9832625)|SYSTEM_METHOD_ENTRY|[16]|Schema.SObjectType.getDescribe()
11:41:57.0 (9855253)|HEAP_ALLOCATE|[16]|Bytes:4
11:41:57.0 (9861113)|SYSTEM_METHOD_EXIT|[16]|Schema.SObjectType.getDescribe()
11:41:57.0 (9873732)|LIMIT_USAGE|[16]|RECORD_TYPE_DESCRIBES|2|100
11:41:57.0 (9887297)|HEAP_ALLOCATE|[16]|Bytes:16
11:41:57.0 (9892794)|HEAP_ALLOCATE|[16]|Bytes:4
11:41:57.0 (9909738)|SYSTEM_METHOD_ENTRY|[16]|Map<String,Schema.RecordTypeInfo>.get(Object)
11:41:57.0 (9925120)|SYSTEM_METHOD_EXIT|[16]|Map<String,Schema.RecordTypeInfo>.get(Object)
11:41:57.0 (9945701)|HEAP_ALLOCATE|[16]|Bytes:4
11:41:57.0 (9953554)|HEAP_ALLOCATE|[16]|Bytes:18
11:41:57.0 (9964015)|VARIABLE_ASSIGNMENT|[16]|OpportunityTriggerHandler.KCRARecordTypeID|"012O0000000DCgGIAW"
11:41:57.0 (9967295)|STATEMENT_EXECUTE|[17]
11:41:57.0 (9970276)|HEAP_ALLOCATE|[17]|Bytes:26
11:41:57.0 (10008156)|SYSTEM_METHOD_ENTRY|[17]|Schema.SObjectType.getDescribe()
11:41:57.0 (10122061)|HEAP_ALLOCATE|[17]|Bytes:4
11:41:57.0 (10130697)|SYSTEM_METHOD_EXIT|[17]|Schema.SObjectType.getDescribe()
11:41:57.0 (10144430)|LIMIT_USAGE|[17]|RECORD_TYPE_DESCRIBES|3|100
11:41:57.0 (11364908)|HEAP_ALLOCATE|[17]|Bytes:16
11:41:57.0 (11374745)|HEAP_ALLOCATE|[17]|Bytes:12
