34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Email_Alert_Class EA = new Email_Alert_Class();
Execute Anonymous: EA.registerNewEmail(null, false, false, '006O0000008ju1Z', true, false, false, null);
Execute Anonymous: EA.registerNewEmail(null, false, false, '006O0000008jnef', true, false, false, null);
Execute Anonymous: EA.sendEmails();
05:01:44.1 (1408241)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+11:00
05:01:44.1 (1421796)|EXECUTION_STARTED
05:01:44.1 (1426239)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
05:01:44.1 (47046858)|VARIABLE_SCOPE_BEGIN|[1]|EA|Email_Alert_Class|true|false
05:01:44.1 (47180771)|HEAP_ALLOCATE|[72]|Bytes:3
05:01:44.1 (47220102)|HEAP_ALLOCATE|[77]|Bytes:152
05:01:44.1 (47231172)|HEAP_ALLOCATE|[342]|Bytes:408
05:01:44.1 (47245634)|HEAP_ALLOCATE|[355]|Bytes:408
05:01:44.1 (47259843)|HEAP_ALLOCATE|[467]|Bytes:48
05:01:44.1 (47287564)|HEAP_ALLOCATE|[139]|Bytes:6
05:01:44.1 (47314552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
05:01:44.1 (47367231)|STATEMENT_EXECUTE|[1]
05:01:44.1 (47370022)|STATEMENT_EXECUTE|[1]
05:01:44.1 (47374658)|HEAP_ALLOCATE|[1]|Bytes:12
05:01:44.1 (47378944)|HEAP_ALLOCATE|[1]|Bytes:20
05:01:44.1 (47381998)|HEAP_ALLOCATE|[1]|Bytes:6
05:01:44.1 (47407666)|METHOD_ENTRY|[1]|01pO00000003HJI|Email_Alert_Class.Email_Alert_Class()
05:01:44.1 (47411122)|STATEMENT_EXECUTE|[1]
05:01:44.1 (47414886)|STATEMENT_EXECUTE|[1]
05:01:44.1 (47443712)|HEAP_ALLOCATE|[50]|Bytes:5
05:01:44.1 (47464441)|HEAP_ALLOCATE|[56]|Bytes:5
05:01:44.1 (47472265)|HEAP_ALLOCATE|[64]|Bytes:7
05:01:44.1 (47490141)|SYSTEM_MODE_ENTER|false
05:01:44.1 (47501480)|HEAP_ALLOCATE|[1]|Bytes:5
05:01:44.1 (47504903)|STATEMENT_EXECUTE|[33]
05:01:44.1 (47509325)|SYSTEM_MODE_EXIT|false
05:01:44.1 (47515767)|METHOD_EXIT|[1]|Email_Alert_Class
05:01:44.1 (47743311)|HEAP_ALLOCATE|[1]|Bytes:20
05:01:44.1 (47772701)|SYSTEM_MODE_ENTER|false
05:01:44.1 (47787282)|HEAP_ALLOCATE|[1]|Bytes:5
05:01:44.1 (47801072)|CONSTRUCTOR_ENTRY|[1]|01pO00000003HJI|<init>()
05:01:44.1 (47827556)|VARIABLE_SCOPE_BEGIN|[10]|this|Email_Alert_Class|true|false
05:01:44.1 (47886585)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x20d34f11
05:01:44.1 (47896484)|HEAP_ALLOCATE|[4]|Bytes:5
05:01:44.1 (47899843)|STATEMENT_EXECUTE|[1]
05:01:44.1 (47902380)|HEAP_ALLOCATE|[4]|Bytes:5
05:01:44.1 (47903873)|STATEMENT_EXECUTE|[3]
05:01:44.1 (47904905)|STATEMENT_EXECUTE|[4]
05:01:44.1 (47907420)|HEAP_ALLOCATE|[4]|Bytes:22
05:01:44.1 (47926649)|VARIABLE_ASSIGNMENT|[4]|this.CentralEmailAddress|"ricky.lowe@yopmail.c (2 more) ..."|0x20d34f11
05:01:44.1 (47929569)|STATEMENT_EXECUTE|[5]
05:01:44.1 (47930925)|STATEMENT_EXECUTE|[6]
05:01:44.1 (47939011)|HEAP_ALLOCATE|[4]|Bytes:6
05:01:44.1 (47958299)|STATEMENT_EXECUTE|[10]
05:01:44.1 (47960141)|STATEMENT_EXECUTE|[16]
05:01:44.1 (47965748)|HEAP_ALLOCATE|[16]|Bytes:4
05:01:44.1 (48090779)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:01:44.1 (48102611)|VARIABLE_ASSIGNMENT|[16]|this.messages|[]|0x20d34f11
05:01:44.1 (48105424)|STATEMENT_EXECUTE|[17]
05:01:44.1 (48109482)|HEAP_ALLOCATE|[17]|Bytes:4
05:01:44.1 (48158296)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:01:44.1 (48165267)|VARIABLE_ASSIGNMENT|[17]|this.EmailMessages|[]|0x20d34f11
05:01:44.1 (48173551)|CONSTRUCTOR_EXIT|[1]|01pO00000003HJI|<init>()
05:01:44.1 (48177033)|SYSTEM_MODE_EXIT|false
05:01:44.1 (48206418)|VARIABLE_ASSIGNMENT|[1]|EA|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x1500a1de","messages":"0x2534c943"}|0x20d34f11
05:01:44.1 (48210664)|STATEMENT_EXECUTE|[2]
05:01:44.1 (48217851)|HEAP_ALLOCATE|[2]|Bytes:15
05:01:44.1 (48231688)|HEAP_ALLOCATE|[2]|Bytes:4
05:01:44.1 (48262868)|SYSTEM_MODE_ENTER|false
05:01:44.1 (48273188)|HEAP_ALLOCATE|[2]|Bytes:5
05:01:44.1 (48308541)|METHOD_ENTRY|[2]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
05:01:44.1 (48328574)|VARIABLE_SCOPE_BEGIN|[20]|this|Email_Alert_Class|true|false
05:01:44.1 (48351072)|VARIABLE_ASSIGNMENT|[20]|this|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x1500a1de","messages":"0x2534c943"}|0x20d34f11
05:01:44.1 (48355729)|VARIABLE_SCOPE_BEGIN|[20]|templateDevName|String|false|false
05:01:44.1 (48359942)|VARIABLE_ASSIGNMENT|[20]|templateDevName|null
05:01:44.1 (48364447)|VARIABLE_SCOPE_BEGIN|[20]|sendToPreContractGroup|Boolean|false|false
05:01:44.1 (48367582)|VARIABLE_ASSIGNMENT|[20]|sendToPreContractGroup|false
05:01:44.1 (48370109)|VARIABLE_SCOPE_BEGIN|[20]|sendToCentralEmailAddress|Boolean|false|false
05:01:44.1 (48372574)|VARIABLE_ASSIGNMENT|[20]|sendToCentralEmailAddress|false
05:01:44.1 (48374538)|VARIABLE_SCOPE_BEGIN|[20]|OppID|Id|false|false
05:01:44.1 (48498902)|VARIABLE_ASSIGNMENT|[20]|OppID|"006O0000008ju1ZIAQ"
05:01:44.1 (48506823)|VARIABLE_SCOPE_BEGIN|[20]|sendToPDM|Boolean|false|false
05:01:44.1 (48511857)|VARIABLE_ASSIGNMENT|[20]|sendToPDM|true
05:01:44.1 (48514491)|VARIABLE_SCOPE_BEGIN|[20]|sendToBDM|Boolean|false|false
05:01:44.1 (48516786)|VARIABLE_ASSIGNMENT|[20]|sendToBDM|false
05:01:44.1 (48519098)|VARIABLE_SCOPE_BEGIN|[20]|sendToAllApprovers|Boolean|false|false
05:01:44.1 (48521547)|VARIABLE_ASSIGNMENT|[20]|sendToAllApprovers|false
05:01:44.1 (48523758)|VARIABLE_SCOPE_BEGIN|[20]|currentApprover|Id|false|false
05:01:44.1 (48526350)|VARIABLE_ASSIGNMENT|[20]|currentApprover|null
05:01:44.1 (48535783)|HEAP_ALLOCATE|[21]|Bytes:5
05:01:44.1 (48539651)|STATEMENT_EXECUTE|[20]
05:01:44.1 (48540870)|STATEMENT_EXECUTE|[21]
05:01:44.1 (48556139)|HEAP_ALLOCATE|[21]|Bytes:36
05:01:44.1 (48606940)|CONSTRUCTOR_ENTRY|[21]|01pO00000003HJI|<init>()
05:01:44.1 (48633682)|VARIABLE_SCOPE_BEGIN|[33]|this|Email_Alert_Class.EmailMessage|true|false
05:01:44.1 (48687898)|VARIABLE_ASSIGNMENT|[33]|this|{}|0x75b6566
05:01:44.1 (48703498)|STATEMENT_EXECUTE|[33]
05:01:44.1 (48705267)|STATEMENT_EXECUTE|[34]
05:01:44.1 (48706208)|STATEMENT_EXECUTE|[35]
05:01:44.1 (48723468)|STATEMENT_EXECUTE|[36]
05:01:44.1 (48725408)|STATEMENT_EXECUTE|[37]
05:01:44.1 (48726305)|STATEMENT_EXECUTE|[38]
05:01:44.1 (48727166)|STATEMENT_EXECUTE|[39]
05:01:44.1 (48728071)|STATEMENT_EXECUTE|[40]
05:01:44.1 (48728888)|STATEMENT_EXECUTE|[41]
05:01:44.1 (48733017)|CONSTRUCTOR_EXIT|[21]|01pO00000003HJI|<init>()
05:01:44.1 (48736515)|VARIABLE_SCOPE_BEGIN|[21]|EM|Email_Alert_Class.EmailMessage|true|false
05:01:44.1 (48751765)|VARIABLE_ASSIGNMENT|[21]|EM|{}|0x75b6566
05:01:44.1 (48754075)|STATEMENT_EXECUTE|[22]
05:01:44.1 (48760502)|VARIABLE_ASSIGNMENT|[22]|this.templateDevName|null|0x75b6566
05:01:44.1 (48762440)|STATEMENT_EXECUTE|[23]
05:01:44.1 (48766958)|HEAP_ALLOCATE|[23]|Bytes:5
05:01:44.1 (48772353)|VARIABLE_ASSIGNMENT|[23]|this.sendToPreContractGroup|false|0x75b6566
05:01:44.1 (48774067)|STATEMENT_EXECUTE|[24]
05:01:44.1 (48776578)|HEAP_ALLOCATE|[24]|Bytes:5
05:01:44.1 (48780677)|VARIABLE_ASSIGNMENT|[24]|this.sendToCentralEmailAddress|false|0x75b6566
05:01:44.1 (48782367)|STATEMENT_EXECUTE|[25]
05:01:44.1 (48832114)|VARIABLE_ASSIGNMENT|[25]|this.OppID|"006O0000008ju1ZIAQ"|0x75b6566
05:01:44.1 (48835882)|STATEMENT_EXECUTE|[26]
05:01:44.1 (48840988)|HEAP_ALLOCATE|[26]|Bytes:5
05:01:44.1 (48848622)|VARIABLE_ASSIGNMENT|[26]|this.sendToPDM|true|0x75b6566
05:01:44.1 (48850371)|STATEMENT_EXECUTE|[27]
05:01:44.1 (48852643)|HEAP_ALLOCATE|[27]|Bytes:5
05:01:44.1 (48856557)|VARIABLE_ASSIGNMENT|[27]|this.sendToBDM|false|0x75b6566
05:01:44.1 (48858146)|STATEMENT_EXECUTE|[28]
05:01:44.1 (48860398)|HEAP_ALLOCATE|[28]|Bytes:5
05:01:44.1 (48864146)|VARIABLE_ASSIGNMENT|[28]|this.sendToAllApprovers|false|0x75b6566
05:01:44.1 (48865826)|STATEMENT_EXECUTE|[29]
05:01:44.1 (48869069)|VARIABLE_ASSIGNMENT|[29]|this.currentApprover|null|0x75b6566
05:01:44.1 (48870521)|STATEMENT_EXECUTE|[30]
05:01:44.1 (48914676)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:01:44.1 (48930833)|METHOD_EXIT|[2]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
05:01:44.1 (48935096)|SYSTEM_MODE_EXIT|false
05:01:44.1 (48939690)|STATEMENT_EXECUTE|[3]
05:01:44.1 (48946646)|HEAP_ALLOCATE|[3]|Bytes:15
05:01:44.1 (48954267)|HEAP_ALLOCATE|[3]|Bytes:4
05:01:44.1 (48980449)|SYSTEM_MODE_ENTER|false
05:01:44.1 (48990752)|HEAP_ALLOCATE|[3]|Bytes:5
05:01:44.1 (49001799)|METHOD_ENTRY|[3]|01pO00000003HJI|Email_Alert_Class.registerNewEmail(String, Boolean, Boolean, Id, Boolean, Boolean, Boolean, Id)
05:01:44.1 (49014208)|VARIABLE_SCOPE_BEGIN|[20]|this|Email_Alert_Class|true|false
05:01:44.1 (49045835)|VARIABLE_ASSIGNMENT|[20]|this|{"CentralEmailAddress":"ricky.lowe@yopmail.c (2 more) ...","EmailMessages":"0x1500a1de","messages":"0x2534c943"}|0x20d34f11
05:01:44.1 (49049546)|VARIABLE_SCOPE_BEGIN|[20]|templateDevName|String|false|false
05:01:44.1 (49052714)|VARIABLE_ASSIGNMENT|[20]|templateDevName|null
05:01:44.1 (49056329)|VARIABLE_SCOPE_BEGIN|[20]|sendToPreContractGroup|Boolean|false|false
