34.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,NONE;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
16:31:08.0 (316891)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+11:00
16:31:08.0 (348774)|EXECUTION_STARTED
16:31:08.0 (352369)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
16:31:08.0 (384503)|CODE_UNIT_STARTED|[EXTERNAL]|01qO00000000Ue8|AssignedApproverTrigger on Assigned_Approver trigger event BeforeUpdate for [a0oO0000002tWhq]
16:31:08.0 (422233)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:31:08.0 (507153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:31:08.0 (948010)|HEAP_ALLOCATE|[72]|Bytes:3
16:31:08.0 (979114)|HEAP_ALLOCATE|[77]|Bytes:152
16:31:08.0 (993581)|HEAP_ALLOCATE|[342]|Bytes:408
16:31:08.0 (1012847)|HEAP_ALLOCATE|[355]|Bytes:408
16:31:08.0 (1032144)|HEAP_ALLOCATE|[467]|Bytes:48
16:31:08.0 (1058082)|HEAP_ALLOCATE|[139]|Bytes:6
16:31:08.0 (1081492)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:31:08.0 (1087015)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:31:08.0 (1092201)|VARIABLE_SCOPE_BEGIN|[1]|this|AssignedApproverTrigger|true|false
16:31:08.0 (1130853)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6b8b192a
16:31:08.0 (1153989)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:31:08.0 (1163154)|VARIABLE_SCOPE_BEGIN|[1]|this|AssignedApproverTrigger|true|false
16:31:08.0 (1172836)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6b8b192a
16:31:08.0 (1177172)|STATEMENT_EXECUTE|[1]
16:31:08.0 (1178941)|STATEMENT_EXECUTE|[2]
16:31:08.0 (1342745)|HEAP_ALLOCATE|[2]|Bytes:36
16:31:08.0 (1357157)|HEAP_ALLOCATE|[50]|Bytes:5
16:31:08.0 (1374238)|HEAP_ALLOCATE|[56]|Bytes:5
16:31:08.0 (1381488)|HEAP_ALLOCATE|[64]|Bytes:7
16:31:08.0 (1414057)|SYSTEM_METHOD_ENTRY|[2]|System.debug(APEX_OBJECT, ANY)
