39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,NONE;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
16:34:07.0 (512943)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+11:00
16:34:07.0 (541367)|EXECUTION_STARTED
16:34:07.0 (545758)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
16:34:07.0 (579158)|CODE_UNIT_STARTED|[EXTERNAL]|01qO00000000SDP|opportunityTrigger on Opportunity trigger event BeforeUpdate for [006O0000008l3xR]
16:34:07.0 (621744)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:34:07.0 (856663)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:34:07.0 (1328970)|HEAP_ALLOCATE|[72]|Bytes:3
16:34:07.0 (1370187)|HEAP_ALLOCATE|[77]|Bytes:152
16:34:07.0 (1386945)|HEAP_ALLOCATE|[342]|Bytes:408
16:34:07.0 (1406211)|HEAP_ALLOCATE|[355]|Bytes:408
16:34:07.0 (1424936)|HEAP_ALLOCATE|[467]|Bytes:48
16:34:07.0 (1452889)|HEAP_ALLOCATE|[139]|Bytes:6
16:34:07.0 (1477840)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:34:07.0 (1484799)|VARIABLE_SCOPE_BEGIN|[1]|this|opportunityTrigger|true|false
16:34:07.0 (1519115)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x5a59c33a
16:34:07.0 (1544584)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:34:07.0 (1549540)|VARIABLE_SCOPE_BEGIN|[1]|this|opportunityTrigger|true|false
16:34:07.0 (1557414)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x5a59c33a
16:34:07.0 (1562212)|STATEMENT_EXECUTE|[1]
16:34:07.0 (1563668)|STATEMENT_EXECUTE|[4]
16:34:07.0 (2580288)|VARIABLE_SCOPE_BEGIN|[16]|opportunityTriggerHandler.KCRARecordTypeID|String|false|true
16:34:07.0 (2586081)|VARIABLE_SCOPE_BEGIN|[15]|opportunityTriggerHandler.KCRATemplateRecordTypeID|String|false|true
16:34:07.0 (2589789)|VARIABLE_SCOPE_BEGIN|[18]|opportunityTriggerHandler.PRARecordTypeID|String|false|true
16:34:07.0 (2592161)|VARIABLE_SCOPE_BEGIN|[17]|opportunityTriggerHandler.PRATemplateRecordTypeID|String|false|true
16:34:07.0 (2594653)|VARIABLE_SCOPE_BEGIN|[20]|opportunityTriggerHandler.isTest|Boolean|false|true
16:34:07.0 (2597251)|VARIABLE_SCOPE_BEGIN|[19]|opportunityTriggerHandler.recursion|Boolean|false|true
16:34:07.0 (2599523)|VARIABLE_SCOPE_BEGIN|[14]|opportunityTriggerHandler.runOnce|Boolean|false|true
16:34:07.0 (3358175)|VARIABLE_SCOPE_BEGIN|[5]|TriggerHandler.bypassedHandlers|Set<String>|true|true
16:34:07.0 (3364356)|VARIABLE_SCOPE_BEGIN|[4]|TriggerHandler.loopCountMap|Map<String,TriggerHandler.LoopCount>|true|true
16:34:07.0 (3393338)|HEAP_ALLOCATE|[4]|Bytes:36
16:34:07.0 (3401065)|HEAP_ALLOCATE|[4]|Bytes:67
16:34:07.0 (3427188)|METHOD_ENTRY|[13]|01pO0000000371i|opportunityTriggerHandler.opportunityTriggerHandler()
16:34:07.0 (3430221)|STATEMENT_EXECUTE|[13]
16:34:07.0 (3434128)|STATEMENT_EXECUTE|[13]
16:34:07.0 (3435642)|STATEMENT_EXECUTE|[14]
16:34:07.0 (3460043)|HEAP_ALLOCATE|[50]|Bytes:5
16:34:07.0 (3476657)|HEAP_ALLOCATE|[56]|Bytes:5
16:34:07.0 (3484537)|HEAP_ALLOCATE|[64]|Bytes:7
16:34:07.0 (3503572)|HEAP_ALLOCATE|[14]|Bytes:5
16:34:07.0 (3515657)|VARIABLE_ASSIGNMENT|[14]|opportunityTriggerHandler.runOnce|true
16:34:07.0 (3518531)|STATEMENT_EXECUTE|[15]
16:34:07.0 (3521083)|HEAP_ALLOCATE|[15]|Bytes:33
16:34:07.0 (3620707)|SYSTEM_METHOD_ENTRY|[15]|Schema.SObjectType.getDescribe()
16:34:07.0 (3787842)|HEAP_ALLOCATE|[15]|Bytes:4
16:34:07.0 (3797315)|SYSTEM_METHOD_EXIT|[15]|Schema.SObjectType.getDescribe()
16:34:07.0 (3828292)|LIMIT_USAGE|[15]|RECORD_TYPE_DESCRIBES|1|100
16:34:07.0 (6139335)|HEAP_ALLOCATE|[15]|Bytes:16
16:34:07.0 (6148973)|HEAP_ALLOCATE|[15]|Bytes:13
16:34:07.0 (6198816)|SYSTEM_METHOD_ENTRY|[15]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (6277484)|SYSTEM_METHOD_EXIT|[15]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (6305798)|HEAP_ALLOCATE|[15]|Bytes:4
16:34:07.0 (6326214)|HEAP_ALLOCATE|[15]|Bytes:18
16:34:07.0 (6343812)|VARIABLE_ASSIGNMENT|[15]|opportunityTriggerHandler.KCRATemplateRecordTypeID|"012O0000000DCgLIAW"
16:34:07.0 (6347079)|STATEMENT_EXECUTE|[16]
16:34:07.0 (6380637)|SYSTEM_METHOD_ENTRY|[16]|Schema.SObjectType.getDescribe()
16:34:07.0 (6403085)|HEAP_ALLOCATE|[16]|Bytes:4
16:34:07.0 (6409419)|SYSTEM_METHOD_EXIT|[16]|Schema.SObjectType.getDescribe()
16:34:07.0 (6421749)|LIMIT_USAGE|[16]|RECORD_TYPE_DESCRIBES|2|100
16:34:07.0 (6438902)|HEAP_ALLOCATE|[16]|Bytes:16
16:34:07.0 (6444986)|HEAP_ALLOCATE|[16]|Bytes:4
16:34:07.0 (6460373)|SYSTEM_METHOD_ENTRY|[16]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (6475143)|SYSTEM_METHOD_EXIT|[16]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (6494930)|HEAP_ALLOCATE|[16]|Bytes:4
16:34:07.0 (6505365)|HEAP_ALLOCATE|[16]|Bytes:18
16:34:07.0 (6517406)|VARIABLE_ASSIGNMENT|[16]|opportunityTriggerHandler.KCRARecordTypeID|"012O0000000DCgGIAW"
16:34:07.0 (6520310)|STATEMENT_EXECUTE|[17]
16:34:07.0 (6523261)|HEAP_ALLOCATE|[17]|Bytes:26
16:34:07.0 (6561939)|SYSTEM_METHOD_ENTRY|[17]|Schema.SObjectType.getDescribe()
16:34:07.0 (6671327)|HEAP_ALLOCATE|[17]|Bytes:4
16:34:07.0 (6679892)|SYSTEM_METHOD_EXIT|[17]|Schema.SObjectType.getDescribe()
16:34:07.0 (6693529)|LIMIT_USAGE|[17]|RECORD_TYPE_DESCRIBES|3|100
16:34:07.0 (7676005)|HEAP_ALLOCATE|[17]|Bytes:16
16:34:07.0 (7685502)|HEAP_ALLOCATE|[17]|Bytes:12
16:34:07.0 (7702765)|SYSTEM_METHOD_ENTRY|[17]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (7718886)|SYSTEM_METHOD_EXIT|[17]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (7739987)|HEAP_ALLOCATE|[17]|Bytes:4
16:34:07.0 (7748003)|HEAP_ALLOCATE|[17]|Bytes:18
16:34:07.0 (7760199)|VARIABLE_ASSIGNMENT|[17]|opportunityTriggerHandler.PRATemplateRecordTypeID|"012O0000000DDVTIA4"
16:34:07.0 (7763362)|STATEMENT_EXECUTE|[18]
16:34:07.0 (7796217)|SYSTEM_METHOD_ENTRY|[18]|Schema.SObjectType.getDescribe()
16:34:07.0 (7818593)|HEAP_ALLOCATE|[18]|Bytes:4
16:34:07.0 (7824791)|SYSTEM_METHOD_EXIT|[18]|Schema.SObjectType.getDescribe()
16:34:07.0 (7837359)|LIMIT_USAGE|[18]|RECORD_TYPE_DESCRIBES|4|100
16:34:07.0 (7851392)|HEAP_ALLOCATE|[18]|Bytes:16
16:34:07.0 (7857090)|HEAP_ALLOCATE|[18]|Bytes:3
16:34:07.0 (7871902)|SYSTEM_METHOD_ENTRY|[18]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (7886234)|SYSTEM_METHOD_EXIT|[18]|Map<String,Schema.RecordTypeInfo>.get(Object)
16:34:07.0 (7905339)|HEAP_ALLOCATE|[18]|Bytes:4
16:34:07.0 (7912868)|HEAP_ALLOCATE|[18]|Bytes:18
16:34:07.0 (7924270)|VARIABLE_ASSIGNMENT|[18]|opportunityTriggerHandler.PRARecordTypeID|"012O0000000DDVOIA4"
16:34:07.0 (7927199)|STATEMENT_EXECUTE|[19]
16:34:07.0 (7932586)|HEAP_ALLOCATE|[19]|Bytes:5
16:34:07.0 (7939170)|VARIABLE_ASSIGNMENT|[19]|opportunityTriggerHandler.recursion|false
16:34:07.0 (7941169)|STATEMENT_EXECUTE|[20]
16:34:07.0 (7943887)|HEAP_ALLOCATE|[20]|Bytes:5
16:34:07.0 (7948864)|VARIABLE_ASSIGNMENT|[20]|opportunityTriggerHandler.isTest|false
16:34:07.0 (7956482)|METHOD_EXIT|[13]|opportunityTriggerHandler
16:34:07.0 (7962240)|HEAP_ALLOCATE|[4]|Bytes:12
16:34:07.0 (7975562)|CONSTRUCTOR_ENTRY|[4]|01pO0000000371i|<init>()
16:34:07.0 (7992606)|VARIABLE_SCOPE_BEGIN|[22]|this|opportunityTriggerHandler|true|false
16:34:07.0 (8018105)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x6b957908
16:34:07.0 (8028677)|STATEMENT_EXECUTE|[13]
16:34:07.0 (8038044)|HEAP_ALLOCATE|[22]|Bytes:48
16:34:07.0 (8043949)|HEAP_ALLOCATE|[22]|Bytes:69
16:34:07.0 (8131914)|METHOD_ENTRY|[1]|01pO00000003AAn|TriggerHandler.TriggerHandler()
16:34:07.0 (8135233)|STATEMENT_EXECUTE|[1]
16:34:07.0 (8138452)|STATEMENT_EXECUTE|[1]
16:34:07.0 (8139631)|STATEMENT_EXECUTE|[16]
16:34:07.0 (8140562)|STATEMENT_EXECUTE|[17]
16:34:07.0 (8144920)|HEAP_ALLOCATE|[17]|Bytes:4
16:34:07.0 (8179546)|VARIABLE_ASSIGNMENT|[17]|TriggerHandler.loopCountMap|{}|0x27377230
16:34:07.0 (8182720)|STATEMENT_EXECUTE|[18]
16:34:07.0 (8188463)|HEAP_ALLOCATE|[18]|Bytes:4
16:34:07.0 (8203083)|SYSTEM_CONSTRUCTOR_ENTRY|[18]|<init>(Integer)
16:34:07.0 (8220893)|SYSTEM_CONSTRUCTOR_EXIT|[18]|<init>(Integer)
16:34:07.0 (8249800)|VARIABLE_ASSIGNMENT|[18]|TriggerHandler.bypassedHandlers|[]|0x5dfd1fe1
16:34:07.0 (8253243)|STATEMENT_EXECUTE|[187]
16:34:07.0 (8254612)|STATEMENT_EXECUTE|[236]
16:34:07.0 (8260239)|METHOD_EXIT|[1]|TriggerHandler
16:34:07.0 (8266163)|CONSTRUCTOR_ENTRY|[22]|01pO00000003AAn|<init>()
16:34:07.0 (8281691)|VARIABLE_SCOPE_BEGIN|[22]|this|TriggerHandler|true|false
16:34:07.0 (8297361)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x6b957908
16:34:07.0 (8301148)|STATEMENT_EXECUTE|[1]
16:34:07.0 (8302402)|STATEMENT_EXECUTE|[9]
