34.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,NONE;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
Execute Anonymous: list<opportunity> opp = Test_Data_Factory.createProspect(1, FALSE);
11:36:52.2 (2279208)|USER_INFO|[EXTERNAL]|005O0000003t7an|ricky.lowe@jhg.com.au.pcphase2|Australian Eastern Standard Time|GMT+10:00
11:36:52.2 (2299018)|EXECUTION_STARTED
11:36:52.2 (2303452)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
11:36:52.2 (2577331)|VARIABLE_SCOPE_BEGIN|[1]|opp|List<Opportunity>|true|false
11:36:52.2 (2731537)|HEAP_ALLOCATE|[72]|Bytes:3
11:36:52.2 (2782576)|HEAP_ALLOCATE|[77]|Bytes:152
11:36:52.2 (2801468)|HEAP_ALLOCATE|[342]|Bytes:408
11:36:52.2 (2818805)|HEAP_ALLOCATE|[355]|Bytes:408
11:36:52.2 (2834452)|HEAP_ALLOCATE|[467]|Bytes:48
11:36:52.2 (2865957)|HEAP_ALLOCATE|[139]|Bytes:6
11:36:52.2 (2890477)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
11:36:52.2 (2991153)|STATEMENT_EXECUTE|[1]
11:36:52.2 (2994504)|STATEMENT_EXECUTE|[1]
11:36:52.2 (3032108)|HEAP_ALLOCATE|[50]|Bytes:5
11:36:52.2 (3060822)|HEAP_ALLOCATE|[56]|Bytes:5
11:36:52.2 (3070091)|HEAP_ALLOCATE|[64]|Bytes:7
11:36:52.2 (3120008)|SYSTEM_MODE_ENTER|false
11:36:52.2 (3148245)|HEAP_ALLOCATE|[1]|Bytes:5
11:36:52.2 (5296220)|HEAP_ALLOCATE|[1]|Bytes:4
11:36:52.2 (5314345)|METHOD_ENTRY|[1]|01pO00000003YVv|Test_Data_Factory.Test_Data_Factory()
11:36:52.2 (5317462)|STATEMENT_EXECUTE|[1]
11:36:52.2 (5321216)|STATEMENT_EXECUTE|[1]
11:36:52.2 (5333554)|HEAP_ALLOCATE|[1]|Bytes:5
11:36:52.2 (5346285)|METHOD_EXIT|[1]|Test_Data_Factory
11:36:52.2 (5382607)|METHOD_ENTRY|[1]|01pO00000003YVv|Test_Data_Factory.createProspect(Integer, Boolean)
11:36:52.2 (5408369)|VARIABLE_SCOPE_BEGIN|[8]|noOfProspects|Integer|false|false
11:36:52.2 (5432120)|VARIABLE_ASSIGNMENT|[8]|noOfProspects|1
11:36:52.2 (5437921)|VARIABLE_SCOPE_BEGIN|[8]|meetCriteriaForGate1|Boolean|false|false
11:36:52.2 (5441894)|VARIABLE_ASSIGNMENT|[8]|meetCriteriaForGate1|false
11:36:52.2 (5452124)|HEAP_ALLOCATE|[9]|Bytes:5
11:36:52.2 (5456210)|STATEMENT_EXECUTE|[8]
11:36:52.2 (5457461)|STATEMENT_EXECUTE|[9]
11:36:52.2 (5464674)|HEAP_ALLOCATE|[9]|Bytes:4
11:36:52.2 (5513043)|SYSTEM_CONSTRUCTOR_ENTRY|[9]|<init>()
11:36:52.2 (5560497)|SYSTEM_CONSTRUCTOR_EXIT|[9]|<init>()
11:36:52.2 (5565085)|VARIABLE_SCOPE_BEGIN|[9]|prospects|List<Opportunity>|true|false
11:36:52.2 (5574324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:36:52.2 (5587343)|VARIABLE_ASSIGNMENT|[9]|prospects|[]|0x30a53eb
11:36:52.2 (5591483)|STATEMENT_EXECUTE|[11]
11:36:52.2 (5595174)|VARIABLE_SCOPE_BEGIN|[11]|i|Integer|false|false
11:36:52.2 (5599064)|HEAP_ALLOCATE|[11]|Bytes:4
11:36:52.2 (5603869)|VARIABLE_ASSIGNMENT|[11]|i|0
11:36:52.2 (5609865)|STATEMENT_EXECUTE|[11]
11:36:52.2 (5611421)|STATEMENT_EXECUTE|[12]
11:36:52.2 (5642207)|HEAP_ALLOCATE|[12]|Bytes:4
11:36:52.2 (5764764)|VARIABLE_SCOPE_BEGIN|[12]|opp|Opportunity|true|false
11:36:52.2 (5779529)|VARIABLE_ASSIGNMENT|[12]|opp|{}|0x659e3b5e
11:36:52.2 (5782248)|STATEMENT_EXECUTE|[13]
11:36:52.2 (5786728)|HEAP_ALLOCATE|[13]|Bytes:18
11:36:52.2 (5806068)|HEAP_ALLOCATE|[13]|Bytes:4
11:36:52.2 (5949713)|VARIABLE_ASSIGNMENT|[13]|this.AccountId|"001O0000017RQomIAG"|0x659e3b5e
11:36:52.2 (5956889)|STATEMENT_EXECUTE|[17]
11:36:52.2 (5958286)|STATEMENT_EXECUTE|[18]
